,flight,player,segment,capacity,flight_pax,pax_per_iti,depart_time,load_factor
0,1,AS,"('ANC', 'SEA')",144,25.876077138311363,"(22.965671412823234, 1.1577309331996026, 0.9356328703675836, 0.8170419219209433)","[45, 45, 45, 45]",0.17969498012716223
1,2,AS,"('ANC', 'PDX')",144,26.732351447887094,"(24.58707002691962, 1.0306598573595531, 1.1146215636079235)","[55, 55, 55]",0.18564132949921594
2,3,AS,"('ANC', 'SEA')",144,25.920704886286913,"(23.697619869876497, 1.1867596015244404, 1.036325414885975)","[105, 105, 105]",0.18000489504365913
3,4,AS,"('ANC', 'SEA')",180,23.41184845079576,"(23.41184845079576,)",[300],0.1300658247266431
4,5,AS,"('SEA', 'LAX')",180,70.34491864762188,"(69.53895626339417, 0.805962384227709)","[305, 1310]",0.39080510359789933
5,6,AS,"('LAX', 'SEA')",144,68.62800776420028,"(67.75157589277805, 0.8764318714222312)","[360, 360]",0.4765833872513908
6,7,AS,"('ANC', 'SEA')",144,23.936944107195337,"(23.155148116669313, 0.7817959905260254)","[360, 360]",0.16622877852218984
7,8,AS,"('LAX', 'PDX')",144,77.36771693558678,"(76.26206245273427, 1.1056544828525214)","[360, 360]",0.537275812052686
8,9,AS,"('SEA', 'ANC')",144,24.25682911770839,"(24.25682911770839,)",[360],0.16845020220630824
9,10,AS,"('SEA', 'LAX')",144,71.14721206918534,"(69.98948113598574, 1.1577309331996026)","[380, 45]",0.49407786159156486
10,11,AS,"('PDX', 'LAX')",144,76.52429411678656,"(75.40967255317864, 1.1146215636079235)","[405, 55]",0.5314187091443512
11,12,AS,"('PDX', 'SEA')",144,102.55329069413014,"(97.21823410362458, 1.0306598573595531, 3.5354410512800127, 0.7689556818659846)","[420, 55, 420, 420]",0.7121756298203482
12,13,AS,"('SEA', 'LAX')",124,69.00580366600458,"(66.88341119411255, 0.9356328703675836, 1.1867596015244404)","[420, 45, 105]",0.5564984166613273
13,14,AS,"('ANC', 'SEA')",124,24.630907720007134,"(23.639870369983676, 0.9910373500234568)","[420, 420]",0.1986363525807027
14,15,AS,"('LAX', 'SEA')",124,68.53651462028125,"(68.53651462028125,)",[450],0.5527138275829133
15,16,AS,"('SEA', 'LAX')",124,69.92100570213267,"(68.06763836532575, 0.8170419219209433, 1.036325414885975)","[460, 45, 105]",0.5638790782430054
16,17,AS,"('SEA', 'ANC')",144,23.763590105250664,"(23.763590105250664,)",[480],0.16502493128646295
17,18,AS,"('LAX', 'PDX')",124,76.74457179107,"(76.74457179107,)",[480],0.618907837024758
18,19,AS,"('SEA', 'LAX')",160,72.76462449730825,"(69.22918344602823, 3.5354410512800127)","[565, 420]",0.45477890310817654
19,20,AS,"('PDX', 'ANC')",144,25.645730002367014,"(24.54007551951449, 1.1056544828525214)","[575, 360]",0.17809534723865983
20,21,AS,"('PDX', 'LAX')",144,76.91647729099185,"(76.91647729099185,)",[585],0.5341422034096657
21,22,AS,"('ANC', 'SEA')",144,25.21654711751044,"(24.09646185538284, 1.1200852621276003)","[600, 600]",0.17511491053826694
22,23,AS,"('LAX', 'SEA')",180,71.10605284705608,"(69.24018754000979, 1.1662953369835314, 0.6995699700627537)","[610, 610, 610]",0.3950336269280893
23,24,AS,"('SEA', 'ANC')",180,25.40135629581802,"(23.755968742529802, 0.7689556818659846, 0.8764318714222312)","[635, 420, 360]",0.14111864608787789
24,25,AS,"('ANC', 'SEA')",180,25.44061771328896,"(23.683395406030574, 0.9583451530092337, 0.7988771542491562)","[660, 660, 660]",0.14133676507382756
25,26,AS,"('PDX', 'LAX')",180,77.34812814516175,"(77.34812814516175,)",[670],0.4297118230286764
26,27,AS,"('LAX', 'SEA')",180,69.27636173811793,"(68.2865841031992, 0.9897776349187272)","[700, 700]",0.38486867632287736
27,28,AS,"('ANC', 'PDX')",180,26.81396944254104,"(25.58216536366548, 1.2318040788755602)","[720, 720]",0.14896649690300579
28,29,AS,"('LAX', 'PDX')",180,76.38443833095857,"(76.38443833095857,)",[780],0.42435799072754765
29,30,AS,"('PDX', 'LAX')",180,78.6260597818182,"(78.6260597818182,)",[800],0.43681144323232335
30,31,AS,"('SEA', 'LAX')",144,70.6754845806721,"(68.90265124012262, 0.7817959905260254, 0.9910373500234568)","[800, 360, 420]",0.49080197625466737
31,32,AS,"('LAX', 'SEA')",144,71.8957951109692,"(71.15851719932107, 0.7372779116481352)","[805, 805]",0.4992763549372861
32,33,AS,"('ANC', 'SEA')",180,26.649270688582096,"(23.67644472759177, 1.1850748236220514, 0.995545569967581, 0.7922055674006907)","[810, 810, 810, 810]",0.1480515038254561
33,34,AS,"('SEA', 'ANC')",180,25.875003269876412,"(24.70870793289288, 1.1662953369835314)","[825, 610]",0.14375001816598007
34,35,AS,"('LAX', 'SEA')",180,71.95926576331863,"(70.28242271260387, 0.9305696397816775, 0.7462734109330736)","[865, 865, 865]",0.3997736986851035
35,36,AS,"('SEA', 'LAX')",180,71.43206439810704,"(70.31197913597944, 1.1200852621276003)","[955, 600]",0.3968448022117058
36,37,AS,"('SEA', 'ANC')",180,26.25592084717027,"(24.566573242188788, 0.6995699700627537, 0.9897776349187272)","[955, 610, 700]",0.14586622692872372
37,38,AS,"('LAX', 'SEA')",180,72.97321958055657,"(70.3445430857245, 1.0794312595437752, 0.8523420802300481, 0.696903155058246)","[960, 960, 960, 960]",0.4054067754475365
38,39,AS,"('ANC', 'SEA')",160,24.75146399874817,"(23.40292647718092, 0.0, 1.3485375215672504)","[1005, 1005, 1005]",0.15469664999217608
39,40,AS,"('LAX', 'PDX')",160,77.8261409034919,"(77.8261409034919,)",[1010],0.4864133806468244
40,41,AS,"('LAX', 'SEA')",180,70.19771432120517,"(68.16464884613764, 0.0, 1.1185306661344354, 0.9145348089330992)","[1030, 1030, 1030, 1030]",0.38998730178447316
41,42,AS,"('SEA', 'LAX')",180,70.18158757636995,"(69.22324242336072, 0.9583451530092337)","[1050, 660]",0.3898977087576108
42,43,AS,"('LAX', 'SEA')",180,71.02700824617469,"(69.25493759907317, 0.0, 1.0272002824862247, 0.7448703646152937)","[1060, 1060, 1060, 1060]",0.39459449025652604
43,44,AS,"('PDX', 'LAX')",180,78.23270311580265,"(77.0008990369271, 1.2318040788755602)","[1060, 720]",0.43462612842112586
44,45,AS,"('ANC', 'SEA')",180,24.186234004780495,"(24.186234004780495,)",[1080],0.13436796669322498
45,46,AS,"('SEA', 'LAX')",160,68.4614151819283,"(67.66253802767915, 0.7988771542491562)","[1090, 660]",0.4278838448870519
46,47,AS,"('LAX', 'SEA')",160,71.72025934332594,"(69.17688979558075, 0.8283333645150321, 0.9386236154326536, 0.7764125677975128)","[1120, 1120, 1120, 1120]",0.4482516208957871
47,48,AS,"('SEA', 'LAX')",160,68.11199255344044,"(66.9269177298184, 1.1850748236220514)","[1135, 810]",0.4256999534590028
48,49,AS,"('SEA', 'ANC')",160,26.101669010702512,"(24.4338214592727, 0.7372779116481352, 0.9305696397816775)","[1135, 805, 865]",0.1631354313168907
49,50,AS,"('LAX', 'SEA')",160,72.09421603548203,"(69.1094447028906, 1.0974727498440018, 1.0329035593988736, 0.8543950233485609)","[1145, 1145, 1145, 1145]",0.4505888502217627
50,51,AS,"('LAX', 'SEA')",160,71.11200414205125,"(68.99624458047846, 1.157942101828709, 0.9578174597440732)","[1175, 1175, 1175]",0.4444500258878203
51,52,AS,"('LAX', 'PDX')",160,78.26706595107183,"(76.97700146304227, 1.2900644880295562)","[1180, 1180]",0.4891691621941989
52,53,AS,"('SEA', 'ANC')",160,26.412406451280102,"(24.586701780803253, 0.7462734109330736, 1.0794312595437752)","[1195, 865, 960]",0.16507754032050065
53,54,AS,"('SEA', 'LAX')",160,70.9563212802159,"(69.96077571024833, 0.995545569967581)","[1195, 810]",0.44347700800134937
54,55,AS,"('PDX', 'LAX')",160,77.31335912175815,"(77.31335912175815,)",[1240],0.48320849451098846
55,56,AS,"('SEA', 'LAX')",160,70.58989065538151,"(69.79768508798082, 0.7922055674006907)","[1255, 810]",0.44118681659613446
56,57,AS,"('SEA', 'ANC')",160,26.334242481226557,"(24.363369734862072, 0.8523420802300481, 1.1185306661344354)","[1255, 960, 1030]",0.16458901550766597
57,58,AS,"('LAX', 'PDX')",160,75.61497849159991,"(75.61497849159991,)",[1290],0.47259361557249946
58,59,AS,"('SEA', 'LAX')",160,69.92642959095845,"(69.92642959095845,)",[1295],0.4370401849434903
59,60,AS,"('SEA', 'ANC')",160,26.31187348516739,"(23.673235238689823, 0.696903155058246, 0.9145348089330992, 1.0272002824862247)","[1300, 960, 1030, 1060]",0.16444920928229617
60,61,AS,"('ANC', 'SEA')",72,24.32796029465907,"(23.521997910431363, 0.805962384227709)","[1310, 1310]",0.3378883374258204
61,62,AS,"('SEA', 'LAX')",72,69.69434754131147,"(68.34581001974422, 1.3485375215672504)","[1315, 1005]",0.9679770491848816
62,63,AS,"('LAX', 'SEA')",160,68.04767596860873,"(68.04767596860873,)",[1315],0.42529797480380455
63,64,AS,"('SEA', 'PDX')",72,71.99979951667217,"(70.07399340231314, 0.0, 0.0, 0.0, 0.8283333645150321, 1.0974727498440018)","[1350, 1005, 1030, 1060, 1120, 1145]",0.9999972155093357
64,65,AS,"('PDX', 'ANC')",160,25.549825599417247,"(24.25976111138769, 1.2900644880295562)","[1360, 1180]",0.1596864099963578
65,66,AS,"('SEA', 'ANC')",160,27.456165672689504,"(23.58182603141397, 0.7448703646152937, 0.9386236154326536, 1.0329035593988736, 1.157942101828709)","[1385, 1060, 1120, 1145, 1175]",0.1716010354543094
66,67,AS,"('SEA', 'ANC')",160,25.740427031175273,"(23.15180198028512, 0.7764125677975128, 0.8543950233485609, 0.9578174597440732)","[1430, 1120, 1145, 1175]",0.16087766894484545
67,68,AS,"('ANC', 'LAX')",160,25.277199971796634,"(25.277199971796634,)",[1430],0.15798249982372897
68,69,AS,"('LAX', 'SEA')",160,67.11700623695191,"(67.11700623695191,)",[1435],0.41948128898094944
69,70,AS,"('LAX', 'ANC')",160,23.291392173758062,"(23.291392173758062,)",[1435],0.1455712010859879
70,71,others,"('ANC', 'SEA')",124,29.98828950041946,"(29.033140561544, 0.95514893887546)","[45, 45]",0.24184104435822143
71,72,others,"('PDX', 'SEA')",180,71.31187712182883,"(71.31187712182883,)",[360],0.39617709512127125
72,73,others,"('SEA', 'LAX')",124,90.95035427729165,"(89.9952053384162, 0.95514893887546)","[425, 45]",0.7334705990104166
73,74,others,"('PDX', 'LAX')",124,84.62980952185193,"(84.62980952185193,)",[430],0.6824984638859026
74,75,others,"('PDX', 'LAX')",124,87.52337802359287,"(87.52337802359287,)",[455],0.7058336937386521
75,76,others,"('LAX', 'SEA')",124,91.34079873394711,"(91.34079873394711,)",[480],0.7366193446286057
76,77,others,"('LAX', 'SEA')",124,87.10875983572804,"(87.10875983572804,)",[520],0.7024899986752261
77,78,others,"('LAX', 'PDX')",124,90.89524368351401,"(86.44424008045003, 4.451003603063983)","[575, 575]",0.7330261587380162
78,79,others,"('LAX', 'SEA')",72,71.99998217666915,"(71.20691849703553, 0.7930636796336147)","[580, 580]",0.9999997524537382
79,80,others,"('LAX', 'SEA')",124,88.54509713814036,"(87.68501294596611, 0.86008419217425)","[600, 600]",0.714073364017261
80,81,others,"('LAX', 'PDX')",124,87.00347451859449,"(87.00347451859449,)",[630],0.7016409235370523
81,82,others,"('SEA', 'PDX')",72,71.99997078230153,"(64.77488049239257, 4.526805175258232, 2.69828511465073)","[665, 665, 665]",0.9999995941986324
82,83,others,"('SEA', 'LAX')",124,91.66797254393666,"(91.66797254393666,)",[680],0.7392578430962634
83,84,others,"('ANC', 'PDX')",72,27.76398154619801,"(27.76398154619801,)",[720],0.3856108548083057
84,85,others,"('SEA', 'LAX')",124,86.035549265567,"(86.035549265567,)",[753],0.6938350747223145
85,86,others,"('PDX', 'LAX')",124,94.21097670627908,"(89.68417153102085, 4.526805175258232)","[762, 665]",0.75976594117967
86,87,others,"('LAX', 'SEA')",124,90.4102381669499,"(87.86272248489404, 2.5475156820558595)","[770, 770]",0.7291148239270153
87,88,others,"('PDX', 'SEA')",72,71.99995584859805,"(59.938367496850915, 3.926125003238577, 2.519382912198025, 4.451003603063983, 1.1650768332465629)","[775, 775, 775, 575, 775]",0.999999386786084
88,89,others,"('SEA', 'LAX')",72,71.99999052682476,"(71.99999052682476,)",[788],0.9999998684281217
89,90,others,"('LAX', 'SEA')",124,97.49634049174021,"(92.95246525272134, 3.7642696225102554, 0.7796056165086226)","[875, 875, 875]",0.7862608104172598
90,91,others,"('SEA', 'LAX')",124,91.97425805502544,"(88.04813305178686, 3.926125003238577)","[885, 775]",0.7417278875405278
91,92,others,"('ANC', 'SEA')",124,31.5650907964045,"(30.75802191675292, 0.807068879651581)","[891, 891]",0.2545571838419718
92,93,others,"('SEA', 'ANC')",124,35.37238973016777,"(32.55416502511334, 1.1650768332465629, 0.7930636796336147, 0.86008419217425)","[900, 775, 580, 600]",0.285261207501353
93,94,others,"('PDX', 'LAX')",124,91.87849685887448,"(89.18021174422375, 2.69828511465073)","[900, 665]",0.740955619829633
94,95,others,"('SEA', 'LAX')",124,90.74386874122023,"(88.2244858290222, 2.519382912198025)","[1002, 775]",0.7318053930743567
95,96,others,"('SEA', 'LAX')",124,90.24654365605505,"(90.24654365605505,)",[1070],0.7277947069036698
96,97,others,"('SEA', 'PDX')",72,71.99997075326537,"(65.68818544869926, 2.5475156820558595, 3.7642696225102554)","[1100, 770, 875]",0.9999995937953524
97,98,others,"('LAX', 'SEA')",124,91.40995985131639,"(91.40995985131639,)",[1130],0.7371770955751321
98,99,others,"('LAX', 'PDX')",124,89.62408133347247,"(88.37511479556679, 1.2489665379056838)","[1175, 1175]",0.7227748494634877
99,100,others,"('PDX', 'SEA')",72,67.60015964027787,"(67.60015964027787,)",[1199],0.9388911061149704
100,101,others,"('SEA', 'ANC')",124,33.255142457710654,"(32.47553684120203, 0.7796056165086226)","[1200, 875]",0.26818663272347304
101,102,others,"('LAX', 'PDX')",124,85.99008603242669,"(85.99008603242669,)",[1235],0.6934684357453765
102,103,others,"('SEA', 'PDX')",72,71.99997998321004,"(71.19291110355846, 0.807068879651581)","[1315, 891]",0.9999997219890283
103,104,others,"('PDX', 'ANC')",72,27.13441256287399,"(25.885446024968306, 1.2489665379056838)","[1360, 1175]",0.37686684115102764
104,105,others,"('LAX', 'ANC')",72,24.451717343589436,"(24.451717343589436,)",[1420],0.33960718532763107
105,106,others,"('ANC', 'LAX')",72,26.52534577035869,"(26.52534577035869,)",[1430],0.3684075801438707
